2,1,0,2,2,2,1,2,0,1,0,2,1,1,1,-100.33841
1,0,2,0,0,6,0,1,2,1,0,2,1,1,1,-98.17044
1,1,1,0,2,4,0,1,2,1,0,2,2,1,0,-98.00594
1,2,0,0,4,2,0,0,3,1,0,2,1,0,2,-100.96809
0,0,3,2,0,4,2,0,1,2,0,1,1,1,1,-95.92033
1,1,1,2,4,0,2,1,0,0,2,1,1,1,1,-100.33361
2,1,0,2,2,2,3,0,0,1,0,2,3,0,0,-88.13595
1,0,2,0,0,6,0,3,0,1,0,2,1,1,1,-100.38482
1,1,1,0,2,4,2,0,1,1,0,2,2,0,1,-93.22729
2,0,1,2,2,2,0,0,3,1,2,0,0,1,2,-100.31301
1,1,1,4,2,0,3,0,0,2,0,1,1,1,1,-95.47601
2,0,1,6,0,0,0,1,2,2,0,1,1,2,0,-94.89294
0,0,3,0,0,6,2,0,1,0,0,3,0,1,2,-101.05698
2,0,1,4,0,2,2,1,0,0,0,3,0,3,0,-99.79497
0,3,0,0,4,2,3,0,0,0,1,2,2,1,0,-103.16908
1,1,1,2,2,2,2,1,0,3,0,0,0,1,2,-98.21496
2,1,0,4,0,2,0,1,2,0,1,2,1,1,1,-97.6732
1,1,1,4,2,0,0,1,2,2,0,1,0,1,2,-100.80045
1,2,0,0,6,0,2,1,0,1,2,0,1,1,1,-102.90264
2,1,0,2,2,2,2,0,1,1,0,2,0,1,2,-97.91416
2,1,0,4,2,0,0,0,3,0,3,0,0,0,3,-100.68853
2,1,0,4,2,0,0,2,1,0,3,0,0,0,3,-102.86391
2,1,0,4,2,0,2,0,1,0,3,0,0,0,3,-97.89357
0,1,2,0,2,4,0,0,3,0,3,0,0,2,1,-111.32727
0,1,2,0,2,4,0,1,2,0,3,0,0,2,1,-111.25881
0,1,2,0,2,4,0,2,1,0,3,0,0,2,1,-113.50681
0,1,2,0,2,4,0,3,0,0,3,0,0,2,1,-113.41275
0,1,2,0,2,4,2,0,1,0,3,0,0,2,1,-108.37025
0,1,2,0,2,4,2,1,0,0,3,0,0,2,1,-108.40938
0,3,0,0,6,0,2,1,0,0,3,0,0,1,2,-110.78614
0,3,0,0,6,0,2,0,1,0,3,0,0,1,2,-110.75173
0,3,0,0,6,0,0,3,0,0,3,0,0,1,2,-115.81565
0,3,0,0,6,0,0,2,1,0,3,0,0,1,2,-115.88058
0,3,0,0,6,0,0,1,2,0,3,0,0,1,2,-113.66977
0,3,0,0,6,0,0,0,3,0,3,0,0,1,2,-113.7098
0,2,1,0,4,2,0,0,3,0,3,0,0,2,1,-113.61232
0,2,1,0,4,2,0,1,2,0,3,0,0,2,1,-113.58316
0,2,1,0,4,2,0,2,1,0,3,0,0,2,1,-115.80634
0,2,1,0,4,2,0,3,0,0,3,0,0,2,1,-115.75119
0,2,1,0,4,2,2,0,1,0,3,0,0,2,1,-110.62586
3,0,0,6,0,0,3,0,0,3,0,0,3,0,0,-80.54854
3,0,0,4,0,2,3,0,0,1,0,2,3,0,0,-82.83769
3,0,0,6,0,0,2,0,1,3,0,0,2,0,1,-82.83492
3,0,0,6,0,0,2,0,1,3,0,0,0,1,2,-89.85439
3,0,0,6,0,0,2,0,1,3,0,0,0,0,3,-87.73823
3,0,0,6,0,0,2,0,1,3,0,0,0,2,1,-91.90919
3,0,0,6,0,0,2,1,0,3,0,0,2,1,0,-84.9003
3,0,0,4,0,2,3,0,0,1,0,2,2,0,1,-85.24238
3,0,0,4,0,2,3,0,0,1,0,2,2,1,0,-87.38986
3,0,0,6,0,0,1,0,2,3,0,0,3,0,0,-82.87905
3,0,0,6,0,0,3,0,0,3,0,0,2,0,1,-82.87419
3,0,0,6,0,0,3,0,0,3,0,0,2,1,0,-84.9703
3,0,0,6,0,0,2,0,1,3,0,0,1,0,2,-85.27075
3,0,0,6,0,0,2,0,1,3,0,0,1,1,1,-87.41549
3,0,0,6,0,0,2,1,0,3,0,0,1,1,1,-87.37562
3,0,0,6,0,0,2,1,0,3,0,0,1,2,0,-89.49451
3,0,0,6,0,0,2,1,0,3,0,0,0,1,2,-89.87453
3,0,0,6,0,0,2,1,0,3,0,0,0,3,0,-94.07883
3,0,0,6,0,0,2,1,0,3,0,0,0,2,1,-91.99065
3,0,0,4,0,2,2,0,1,1,0,2,2,0,1,-85.19491
0,2,1,2,4,0,1,0,2,2,0,1,3,0,0,-95.6961
0,1,2,2,0,4,1,0,2,2,1,0,3,0,0,-93.43114
1,2,0,2,4,0,1,0,2,3,0,0,3,0,0,-92.99378
0,1,2,2,2,2,3,0,0,2,0,1,3,0,0,-90.9589
0,2,1,2,4,0,0,2,1,2,0,1,2,0,1,-100.41429
1,1,1,2,2,2,3,0,0,3,0,0,3,0,0,-88.2928
0,1,2,0,2,4,1,2,0,0,0,3,3,0,0,-98.24945
0,1,2,2,0,4,0,2,1,2,1,0,2,0,1,-98.09201
1,1,1,2,2,2,0,3,0,3,0,0,2,1,0,-97.35957
0,1,2,0,2,4,1,0,2,0,0,3,3,0,0,-96.07424
0,1,2,2,2,2,1,2,0,2,0,1,3,0,0,-95.51637
0,0,3,0,0,6,0,3,0,0,0,3,2,1,0,-100.56495
1,2,0,2,4,0,0,1,2,3,0,0,0,1,2,-103.35801
0,1,2,2,2,2,0,3,0,2,0,1,2,1,0,-100.22233
1,1,1,4,2,0,1,2,0,2,0,1,3,0,0,-92.8357
0,1,2,0,2,4,3,0,0,0,0,3,3,0,0,-93.50934
0,1,2,2,0,4,1,2,0,2,1,0,3,0,0,-95.53807
0,0,3,2,0,4,0,3,0,2,0,1,1,2,0,-102.92187
1,2,0,2,4,0,0,2,1,3,0,0,2,0,1,-97.59762
0,1,2,2,0,4,2,0,1,2,1,0,2,0,1,-93.48174
1,0,2,2,0,4,3,0,0,0,0,3,3,0,0,-88.38404
0,0,3,0,0,6,3,0,0,0,0,3,3,0,0,-91.16323
0,0,3,2,0,4,2,0,1,2,0,1,0,0,3,-96.47801
0,0,3,0,2,4,1,0,2,0,2,1,3,0,0,-95.97014
0,1,2,0,2,4,1,2,0,0,0,3,3,0,0,-98.24945
0,0,3,0,0,6,1,0,2,0,0,3,2,1,0,-98.77185
2,1,0,4,2,0,0,2,1,0,3,0,0,0,3,-102.86391
0,0,3,0,2,4,1,2,0,0,2,1,3,0,0,-98.17871
1,1,1,2,2,2,1,0,2,0,0,3,3,0,0,-93.33332
1,1,1,2,2,2,0,0,3,0,3,0,0,0,3,-103.72869
1,2,0,2,4,0,0,2,1,3,0,0,0,0,3,-103.24986
0,1,2,2,0,4,0,0,3,2,1,0,0,0,3,-101.65328
0,0,3,2,0,4,2,0,1,2,0,1,1,0,2,-93.77066
2,1,0,4,2,0,0,0,3,0,3,0,1,0,2,-97.89379
0,0,3,0,2,4,1,2,0,0,2,1,2,0,1,-101.03026
1,0,2,2,2,2,2,0,1,0,2,1,0,0,3,-98.49522
0,0,3,2,0,4,1,0,2,2,0,1,3,0,0,-91.07291
2,0,1,4,0,2,0,3,0,0,0,3,2,1,0,-94.67859
0,0,3,2,0,4,2,0,1,2,0,1,2,0,1,-91.12203
0,0,3,0,0,6,0,3,0,0,0,3,2,1,0,-100.56495
0,3,0,2,4,0,0,2,1,2,1,0,0,0,3,-108.5222
0,3,0,2,4,0,0,0,3,2,1,0,0,0,3,-106.39508
1,0,2,2,0,4,2,0,1,3,0,0,0,0,3,-93.56722
1,1,1,2,2,2,2,0,1,3,0,0,0,0,3,-96.05656
3,0,0,4,2,0,0,3,0,1,2,0,0,2,1,-101.69168
0,0,3,2,0,4,0,0,3,2,0,1,0,0,3,-99.1808
1,0,2,0,2,4,2,0,1,1,2,0,0,0,3,-98.56521
0,0,3,2,0,4,0,2,1,2,0,1,0,0,3,-101.33257
1,1,1,0,4,2,2,0,1,1,2,0,0,0,3,-100.97821
3,0,0,4,2,0,2,0,1,1,2,0,0,0,3,-92.48027
2,1,0,4,2,0,0,2,1,0,3,0,0,0,3,-102.86391
3,0,0,4,2,0,0,0,3,1,2,0,0,2,1,-99.53205
2,1,0,2,4,0,2,0,1,1,2,0,0,0,3,-98.04975
1,2,0,2,4,0,0,3,0,3,0,0,0,1,2,-105.4422
1,2,0,2,4,0,0,0,3,3,0,0,0,1,2,-103.34008
0,2,1,2,2,2,0,2,1,2,1,0,0,0,3,-106.19182
3,0,0,4,2,0,0,2,1,1,2,0,0,2,1,-101.74292
2,1,0,4,2,0,0,0,3,0,3,0,0,0,3,-100.68853
0,1,2,2,0,4,0,0,3,2,1,0,0,0,3,-101.65328
1,2,0,2,4,0,2,0,1,3,0,0,0,0,3,-98.43984
3,0,0,6,0,0,0,2,1,3,0,0,0,0,3,-92.42753
1,0,2,0,2,4,2,0,1,1,2,0,0,0,3,-98.56521
3,0,0,4,2,0,0,0,3,1,2,0,0,0,3,-95.20482
3,0,0,6,0,0,0,0,3,3,0,0,0,0,3,-90.3026
3,0,0,6,0,0,0,2,1,3,0,0,0,0,3,-92.42753
1,0,2,2,0,4,2,0,1,3,0,0,0,0,3,-93.56722
2,1,0,4,0,2,0,2,1,0,1,2,0,0,3,-100.58654
1,2,0,0,6,0,0,2,1,1,2,0,0,0,3,-108.35086
2,0,1,2,2,2,0,3,0,1,2,0,0,1,2,-102.623
1,0,2,2,0,4,2,0,1,3,0,0,1,0,2,-90.95999
2,1,0,4,0,2,0,0,3,0,1,2,0,0,3,-98.40122
2,1,0,2,4,0,0,2,1,1,2,0,0,0,3,-103.02804
1,2,0,0,6,0,0,0,3,1,2,0,0,0,3,-106.15721
2,0,1,2,2,2,2,0,1,1,2,0,0,0,3,-95.56917
2,0,1,2,2,2,1,2,0,1,2,0,1,0,2,-97.91648
1,1,1,2,2,2,2,0,1,3,0,0,0,0,3,-96.05656
1,1,1,2,2,2,0,3,0,3,0,0,0,1,2,-103.03437
1,0,2,0,0,6,3,0,0,1,0,2,3,0,0,-88.43213
1,0,2,0,2,4,0,3,0,1,2,0,1,1,1,-102.86243
2,0,1,2,2,2,0,0,3,1,2,0,0,1,2,-100.56684
0,0,3,0,2,4,0,0,3,0,2,1,0,0,3,-104.38158
1,0,2,0,2,4,2,0,1,1,2,0,0,0,3,-98.56521
1,0,2,2,2,2,0,0,3,0,2,1,0,0,3,-101.33298
2,1,0,2,4,0,0,2,1,1,2,0,0,0,3,-103.02804
3,0,0,4,2,0,0,2,1,1,2,0,0,0,3,-97.40361
0,0,3,0,2,4,0,0,3,0,2,1,1,0,2,-101.50189
2,0,1,2,2,2,0,3,0,1,2,0,0,1,2,-102.623
2,0,1,4,2,0,0,0,3,0,2,1,0,0,3,-98.21548
2,0,1,4,0,2,0,0,3,3,0,0,0,0,3,-93.24134
0,0,3,0,2,4,0,0,3,0,2,1,2,0,1,-98.59555
3,0,0,4,0,2,0,2,1,1,0,2,0,0,3,-95.09175
2,1,0,2,2,2,0,0,3,1,0,2,0,0,3,-98.55488
1,0,2,2,0,4,0,2,1,3,0,0,0,0,3,-98.33585
2,0,1,2,2,2,2,0,1,1,2,0,0,0,3,-95.56917
1,2,0,0,6,0,0,0,3,1,2,0,0,0,3,-106.15721
3,0,0,4,2,0,0,2,1,1,2,0,1,0,2,-94.74434
0,1,2,0,2,4,0,0,3,0,3,0,0,0,3,-106.78288
1,0,2,0,2,4,1,2,0,1,2,0,1,0,2,-100.85275
3,0,0,4,0,2,0,0,3,1,0,2,2,0,1,-87.69972
1,0,2,0,2,4,0,3,0,1,2,0,2,1,0,-99.9432
0,0,3,0,0,6,3,0,0,0,0,3,3,0,0,-91.16323
0,0,3,0,0,6,3,0,0,0,0,3,2,0,1,-93.76408
0,0,3,0,2,4,0,2,1,0,2,1,0,0,3,-106.60243
0,0,3,0,2,4,2,0,1,0,2,1,0,0,3,-101.51987
1,0,2,2,0,4,1,0,2,0,0,3,3,0,0,-90.90898
1,0,2,2,2,2,0,0,3,0,2,1,0,0,3,-101.33298
0,0,3,0,2,4,3,0,0,0,2,1,1,1,1,-100.90573
1,0,2,0,2,4,0,2,1,1,2,0,0,0,3,-103.56921
0,0,3,0,0,6,1,2,0,0,0,3,2,1,0,-100.98838
0,0,3,0,0,6,1,2,0,0,0,3,3,0,0,-95.88654
1,0,2,0,2,4,2,0,1,1,2,0,0,0,3,-98.56521
2,0,1,2,2,2,0,0,3,1,2,0,0,0,3,-98.33986
0,0,3,0,0,6,2,0,1,0,0,3,1,0,2,-96.45508
0,0,3,0,2,4,3,0,0,0,2,1,2,1,0,-98.26235
